                                                        The Restaurant
                                         
     |   Chef   |  Waiter  | Student0 | Student1 | Student2 | Student3 | Student4 | Student5 | Student6 |  course  |

     |  WTFAOD  |  APRSIT  |  GOTORT  |  GOTORT  |  GOTORT  |  GOTORT  |  GOTORT  |  GOTORT  |  GOTORT  |    00    |

     |  WTFAOD  |  APRSIT  |  TAKSEA  |  GOTORT  |  GOTORT  |  GOTORT  |  GOTORT  |  GOTORT  |  GOTORT  |    00    |

     |  WTFAOD  |  APRSIT  |  TAKSEA  |  TAKSEA  |  GOTORT  |  GOTORT  |  GOTORT  |  GOTORT  |  GOTORT  |    00    |

     |  WTFAOD  |  APRSIT  |  TAKSEA  |  TAKSEA  |  GOTORT  |  TAKSEA  |  GOTORT  |  GOTORT  |  GOTORT  |    00    |

     |  WTFAOD  |  APRSIT  |  TAKSEA  |  TAKSEA  |  GOTORT  |  TAKSEA  |  TAKSEA  |  GOTORT  |  GOTORT  |    00    |

     |  WTFAOD  |  APRSIT  |  TAKSEA  |  TAKSEA  |  GOTORT  |  TAKSEA  |  TAKSEA  |  TAKSEA  |  GOTORT  |    00    |

     |  WTFAOD  |  APRSIT  |  TAKSEA  |  TAKSEA  |  GOTORT  |  TAKSEA  |  TAKSEA  |  TAKSEA  |  TAKSEA  |    00    |

     |  WTFAOD  |  APRSIT  |  TAKSEA  |  TAKSEA  |  TAKSEA  |  TAKSEA  |  TAKSEA  |  TAKSEA  |  TAKSEA  |    00    |

     |  WTFAOD  |  PRETME  |  TAKSEA  |  TAKSEA  |  TAKSEA  |  TAKSEA  |  TAKSEA  |  TAKSEA  |  TAKSEA  |    00    |

     |  WTFAOD  |  PRETME  |  SELTCO  |  TAKSEA  |  TAKSEA  |  TAKSEA  |  TAKSEA  |  TAKSEA  |  TAKSEA  |    00    |

     |  WTFAOD  |  APRSIT  |  SELTCO  |  TAKSEA  |  TAKSEA  |  TAKSEA  |  TAKSEA  |  TAKSEA  |  TAKSEA  |    00    |

     |  WTFAOD  |  APRSIT  |  ORGORD  |  TAKSEA  |  TAKSEA  |  TAKSEA  |  TAKSEA  |  TAKSEA  |  TAKSEA  |    00    |

     |  WTFAOD  |  PRETME  |  ORGORD  |  TAKSEA  |  TAKSEA  |  TAKSEA  |  TAKSEA  |  TAKSEA  |  TAKSEA  |    00    |

     |  WTFAOD  |  APRSIT  |  ORGORD  |  TAKSEA  |  TAKSEA  |  TAKSEA  |  TAKSEA  |  TAKSEA  |  TAKSEA  |    00    |

