GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
goCamping,BackendBeans,BookingBean,274,0,2,0,69,0,32,0,31,0
goCamping,BackendBeans,SignUpBean,152,0,8,0,45,0,29,0,25,0
goCamping,BackendBeans,AccountBean,229,0,6,0,59,0,30,0,27,0
goCamping,BackendBeans,AuthenticationBean,153,0,10,0,44,0,15,0,10,0
goCamping,BackendBeans,NewSessionBean,913,0,20,0,268,0,37,0,27,0
goCamping,BackendBeans,CampsiteBean,306,0,0,0,80,0,43,0,43,0
goCamping,BackendBeans,FavouriteListBean,94,0,0,0,20,0,9,0,9,0
goCamping,BackendBeans,SearchBean,47,0,0,0,17,0,11,0,11,0
goCamping,RESTservice,UtilizadorFacadeREST,48,0,0,0,13,0,9,0,9,0
goCamping,RESTservice,ManagerFacadeREST,48,0,0,0,13,0,9,0,9,0
goCamping,RESTservice,AbstractFacade,116,0,0,0,24,0,8,0,8,0
goCamping,RESTservice,CampsiteFacadeREST,48,0,0,0,13,0,9,0,9,0
goCamping,RESTservice,CamperFacadeREST,48,0,0,0,13,0,9,0,9,0
goCamping,RESTservice,ApplicationConfig,29,0,0,0,9,0,3,0,3,0
goCamping,Persistencia,Utilizador,128,29,10,0,23,13,9,8,4,8
goCamping,Persistencia,Reservation,162,66,18,0,29,28,14,19,5,19
goCamping,Persistencia,FavouriteList,70,17,8,0,16,7,8,5,4,5
goCamping,Persistencia,EntityManagerUtil,27,0,0,0,8,0,3,0,3,0
goCamping,Persistencia,Manager,73,36,7,1,15,15,8,10,4,10
goCamping,Persistencia,Campsite,169,71,17,1,34,30,14,20,5,20
goCamping,Persistencia,FavouriteListKey,83,0,8,0,21,0,10,0,6,0
goCamping,Persistencia,Camper,63,43,9,1,16,18,10,12,5,12
goCamping,InterfaceBeans,MyBean,20,0,0,0,7,0,4,0,4,0
goCamping,InterfaceBeans,CalendarManagedBean,15,0,0,0,5,0,3,0,3,0
goCamping,GeneralStuff,Hash,22,46,1,3,6,9,3,3,2,2
